Loan_ID,Gender,Married,Dependents,Education,Self_Employed,ApplicantIncome,CoapplicantIncome,LoanAmount,Loan_Amount_Term,Credit_History,Property_Area,Loan_Status
LP001002,Male,No,0,Graduate,No,0.07048855905998763,0.0,0.17221418234442834,360.0,1.0,Urban,Y
LP001003,Male,Yes,1,Graduate,No,0.05482993197278912,0.03619171046631627,0.17221418234442834,360.0,1.0,Rural,N
LP001005,Male,Yes,0,Graduate,Yes,0.0352504638218924,0.0,0.0824891461649783,360.0,1.0,Urban,Y
LP001006,Male,Yes,0,Not Graduate,No,0.030092764378478663,0.05659154726762186,0.1606367583212735,360.0,1.0,Urban,Y
LP001008,Male,No,0,Graduate,No,0.07235621521335807,0.0,0.19102749638205496,360.0,1.0,Urban,Y
LP001011,Male,Yes,2,Graduate,Yes,0.06514533085961657,0.100703194374445,0.3733719247467438,360.0,1.0,Urban,Y
LP001013,Male,Yes,0,Not Graduate,No,0.027000618429189858,0.03638370893032856,0.12445730824891461,360.0,1.0,Urban,Y
LP001014,Male,Yes,3+,Graduate,No,0.03569573283858998,0.060095519235846113,0.21562952243125902,360.0,0.0,Semiurban,N
LP001018,Male,Yes,2,Graduate,No,0.047693259121830554,0.03662370701034392,0.23010130246020258,360.0,1.0,Urban,Y
LP001020,Male,Yes,1,Graduate,No,0.15696969696969698,0.2632298941608467,0.49204052098408096,360.0,1.0,Semiurban,N
LP001024,Male,Yes,2,Graduate,No,0.037724180581323444,0.01679986560107519,0.08827785817655572,360.0,1.0,Urban,Y
LP001027,Male,Yes,2,Graduate,No,0.02906617192331478,0.04415964672282622,0.14471780028943557,360.0,1.0,Urban,Y
LP001028,Male,Yes,2,Graduate,No,0.03615337043908473,0.19454244366045073,0.276410998552822,360.0,1.0,Urban,Y
LP001029,Male,No,0,Graduate,No,0.021063698206555348,0.0681594547243622,0.15195369030390735,360.0,1.0,Rural,N
LP001030,Male,Yes,2,Graduate,No,0.014211502782931354,0.026063791489668083,0.011577424023154847,120.0,1.0,Urban,Y
LP001032,Male,No,0,Graduate,No,0.05936920222634509,0.0,0.16787264833574528,360.0,1.0,Urban,Y
LP001034,Male,No,1,Not Graduate,No,0.04262213976499691,0.0,0.13169319826338638,240.0,1.0,Urban,Y
LP001036,Female,No,0,Graduate,No,0.041558441558441565,0.0,0.09696092619392185,360.0,0.0,Urban,N
LP001038,Male,Yes,0,Not Graduate,No,0.05858998144712431,0.0,0.17945007235890012,360.0,1.0,Rural,N
LP001041,Male,Yes,0,Graduate,No,0.0303030303030303,0.08399932800537596,0.15340086830680172,360.0,1.0,Urban,Y
LP001043,Male,Yes,0,Not Graduate,No,0.09288806431663575,0.0,0.1374819102749638,360.0,0.0,Urban,N
LP001046,Male,Yes,1,Graduate,No,0.07179962894248608,0.13499892000863994,0.4428364688856729,360.0,1.0,Urban,Y
LP001047,Male,Yes,0,Not Graduate,No,0.0303030303030303,0.045863633090935274,0.15484804630969606,360.0,0.0,Semiurban,N
LP001050,Male,Yes,2,Not Graduate,No,0.03976499690785405,0.04600763193894449,0.14905933429811866,360.0,0.0,Rural,N
LP001052,Male,Yes,1,Graduate,No,0.0441187384044527,0.07019943840449276,0.20549927641099852,360.0,1.0,Semiurban,N
LP001066,Male,Yes,0,Graduate,Yes,0.11638837353123067,0.0,0.26338639652677276,360.0,1.0,Semiurban,Y
LP001068,Male,Yes,0,Graduate,No,0.032764378478664195,0.05407156742746058,0.16353111432706222,360.0,1.0,Semiurban,Y
LP001073,Male,Yes,2,Not Graduate,No,0.050414347557204704,0.024959800321597427,0.14616497829232994,360.0,1.0,Urban,Y
LP001086,Male,No,0,Not Graduate,No,0.01598021026592455,0.0,0.03762662807525326,360.0,1.0,Urban,N
LP001087,Female,No,2,Graduate,No,0.04452690166975882,0.049991600067199465,0.1606367583212735,360.0,1.0,Semiurban,Y
LP001091,Male,Yes,1,Graduate,No,0.049672232529375394,0.08085535315717474,0.2778581765557163,360.0,1.0,Urban,N
LP001095,Male,No,0,Graduate,No,0.03731601731601732,0.0,0.09406657018813314,360.0,1.0,Urban,N
LP001097,Male,No,1,Graduate,Yes,0.05617810760667904,0.0,0.1403762662807525,360.0,1.0,Rural,N
LP001098,Male,Yes,0,Graduate,No,0.041434755720470014,0.04000767993856049,0.15195369030390735,360.0,1.0,Semiurban,Y
LP001100,Male,No,3+,Graduate,No,0.15275200989486704,0.07199942400460796,0.4500723589001447,360.0,1.0,Rural,N
LP001106,Male,Yes,0,Graduate,No,0.026283240568954855,0.04960760313917489,0.17221418234442834,360.0,1.0,Urban,Y
LP001109,Male,Yes,0,Graduate,No,0.02075448361162647,0.03191974464204286,0.13169319826338638,360.0,0.0,Urban,N
LP001112,Female,Yes,0,Graduate,No,0.04350030921459493,0.03501571987424101,0.19536903039073802,360.0,1.0,Semiurban,Y
LP001114,Male,No,0,Graduate,No,0.049672232529375394,0.17303861569107448,0.2532561505065123,360.0,1.0,Urban,Y
LP001116,Male,No,0,Not Graduate,No,0.04450216450216451,0.04003167974656203,0.14616497829232994,360.0,1.0,Semiurban,Y
LP001119,Male,No,0,Graduate,No,0.04267161410018554,0.0,0.10274963820549927,360.0,1.0,Urban,N
LP001120,Male,No,0,Graduate,No,0.020408163265306124,0.029111767105863152,0.05499276410998552,360.0,1.0,Urban,Y
LP001123,Male,Yes,0,Graduate,No,0.027829313543599257,0.0,0.0955137481910275,360.0,1.0,Urban,Y
LP001131,Male,Yes,0,Graduate,No,0.04688930117501547,0.056063551491588065,0.18089725036179446,360.0,1.0,Semiurban,Y
LP001136,Male,Yes,0,Not Graduate,Yes,0.056215213358070504,0.0,0.12590448625180894,360.0,1.0,Urban,Y
LP001137,Female,No,0,Graduate,No,0.04032158317872604,0.0,0.11432706222865412,360.0,1.0,Urban,Y
LP001138,Male,Yes,1,Graduate,No,0.06801484230055659,0.0,0.05065123010130246,360.0,1.0,Urban,Y
LP001144,Male,Yes,0,Graduate,No,0.07014223871366729,0.0,0.19536903039073802,360.0,1.0,Urban,Y
LP001146,Female,Yes,0,Graduate,No,0.03085961657390229,0.0825593395252838,0.1606367583212735,360.0,0.0,Urban,N
LP001151,Female,No,0,Graduate,No,0.04761904761904762,0.05459956320349437,0.19536903039073802,360.0,1.0,Semiurban,Y
LP001155,Female,Yes,0,Not Graduate,No,0.021991341991341992,0.039455684354525164,0.13169319826338638,360.0,1.0,Semiurban,Y
LP001157,Female,No,0,Graduate,No,0.03631416202844775,0.0,0.1606367583212735,360.0,1.0,Semiurban,Y
LP001164,Female,No,0,Graduate,No,0.050463821892393325,0.0,0.14905933429811866,360.0,1.0,Semiurban,N
LP001179,Male,Yes,2,Graduate,No,0.055238095238095246,0.0,0.18089725036179446,360.0,1.0,Urban,N
LP001186,Female,Yes,1,Graduate,Yes,0.14038342609771182,0.0,0.4008683068017366,360.0,0.0,Urban,N
LP001194,Male,Yes,2,Graduate,No,0.03163883735312307,0.0280077759377925,0.12735166425470332,360.0,1.0,Semiurban,Y
LP001195,Male,Yes,0,Graduate,No,0.02451453308596166,0.038183694530443756,0.12590448625180894,360.0,1.0,Semiurban,Y
LP001197,Male,Yes,0,Graduate,No,0.03977736549165121,0.05279957760337917,0.18234442836468884,360.0,1.0,Rural,N
LP001198,Male,Yes,1,Graduate,No,0.09808286951144093,0.05399956800345597,0.24746743849493485,360.0,1.0,Urban,Y
LP001199,Male,Yes,2,Not Graduate,No,0.03966604823747681,0.06861545107639139,0.19536903039073802,360.0,1.0,Urban,Y
LP001205,Male,Yes,0,Graduate,No,0.02906617192331478,0.09110327117383062,0.1606367583212735,360.0,1.0,Urban,Y
LP001206,Male,Yes,3+,Graduate,No,0.0356091527520099,0.0,0.130246020260492,360.0,1.0,Urban,Y
LP001207,Male,Yes,0,Not Graduate,Yes,0.030414347557204704,0.08277533779729762,0.22575976845151952,180.0,0.0,Rural,N
LP001213,Male,Yes,1,Graduate,No,0.059307359307359316,0.0,0.17221418234442834,360.0,0.0,Rural,N
LP001222,Female,No,0,Graduate,No,0.049672232529375394,0.0,0.15484804630969606,360.0,0.0,Semiurban,N
LP001225,Male,Yes,0,Graduate,No,0.06896722325293754,0.11027911776705786,0.3603473227206946,360.0,1.0,Semiurban,N
LP001228,Male,No,0,Not Graduate,No,0.037724180581323444,0.05409556723546212,0.16931982633863962,180.0,0.0,Urban,N
LP001233,Male,Yes,1,Graduate,No,0.1311069882498454,0.0,0.4384949348769898,360.0,1.0,Urban,Y
LP001238,Male,Yes,3+,Not Graduate,Yes,0.08596165739022882,0.0,0.16787264833574528,60.0,1.0,Urban,Y
LP001241,Female,No,0,Graduate,No,0.05132962275819419,0.0,0.18379160636758318,360.0,0.0,Semiurban,N
LP001243,Male,Yes,0,Graduate,No,0.037823129251700685,0.07358341133270933,0.23589001447178,360.0,1.0,Urban,Y
LP001245,Male,Yes,2,Not Graduate,Yes,0.021335807050092765,0.044999640002879975,0.12735166425470332,360.0,1.0,Semiurban,Y
LP001248,Male,No,0,Graduate,No,0.041434755720470014,0.0,0.10419681620839363,300.0,1.0,Semiurban,Y
LP001250,Male,Yes,3+,Not Graduate,No,0.05695732838589982,0.0,0.12445730824891461,360.0,0.0,Semiurban,N
LP001253,Male,Yes,3+,Graduate,Yes,0.06327767470624614,0.042575659394724845,0.2575976845151953,360.0,1.0,Semiurban,Y
LP001255,Male,No,0,Graduate,No,0.04452690166975882,0.0,0.150506512301013,480.0,1.0,Urban,N
LP001256,Male,No,0,Graduate,No,0.04452690166975882,0.11399908800729594,0.24167872648335742,360.0,1.0,Urban,N
LP001259,Male,Yes,1,Graduate,Yes,0.010513296227581943,0.07252741978064176,0.14616497829232994,360.0,1.0,Urban,N
LP001263,Male,Yes,3+,Graduate,No,0.03731601731601732,0.09599923200614395,0.24746743849493485,300.0,0.0,Semiurban,N
LP001264,Male,Yes,3+,Not Graduate,Yes,0.03936920222634509,0.05198358413132695,0.17510853835021706,360.0,1.0,Semiurban,Y
LP001265,Female,No,0,Graduate,No,0.04571428571428572,0.0,0.14761215629522428,360.0,1.0,Semiurban,Y
LP001266,Male,Yes,1,Graduate,Yes,0.02776747062461348,0.0,0.17221418234442834,360.0,1.0,Semiurban,Y
LP001267,Female,Yes,2,Graduate,No,0.01518862090290662,0.04514363885088919,0.22865412445730823,360.0,1.0,Urban,N
LP001273,Male,Yes,0,Graduate,No,0.07235621521335807,0.05399956800345597,0.3704775687409551,360.0,1.0,Semiurban,N
LP001275,Male,Yes,1,Graduate,No,0.04747062461348176,0.0,0.059334298118668596,240.0,1.0,Urban,Y
LP001279,Male,No,0,Graduate,No,0.02740878169449598,0.06074351405188758,0.18379160636758318,360.0,1.0,Semiurban,Y
LP001280,Male,Yes,2,Not Graduate,No,0.03936920222634509,0.047999616003071975,0.130246020260492,360.0,1.0,Semiurban,Y
LP001282,Male,Yes,0,Graduate,No,0.02906617192331478,0.05083159334725322,0.1374819102749638,360.0,1.0,Semiurban,Y
